id_elf,id_gda
TE11,149
TE12,150
TE13,159
FI7,162
FI8,163
FI9,167
DC11,116
DC11,119
DC12,137
DC12,136
DC13,127
II1,141
II3,144
OE9,169
OE10,172
OE10,178
OE10,177
OE11,188
