user_id;question_id;answer
17469;FI1;1️⃣
17469;FI2;1️⃣
17767;FI1;2️⃣
17767;FI2;1️⃣
17767;FI3;4️⃣
17767;FI4;3️⃣
17767;FI5;5️⃣
17767;FI6;1️⃣
17928;FI1;1️⃣
17928;FI2;🤷‍♂️
17928;FI3;5️⃣
17928;FI4;🤷‍♂️
17928;FI5;4️⃣
17941;FI1;3️⃣
17941;FI2;1️⃣
17941;FI3;🔟
17941;FI4;2️⃣
17941;FI5;4️⃣
17941;FI6;2️⃣
17942;DC1;2️⃣
17942;DC10;2️⃣
17942;DC2;1️⃣
17942;DC3;1️⃣
17942;DC4;1️⃣
17942;DC5;1️⃣
17942;DC6;2️⃣
17942;DC7;1️⃣
17942;DC8;2️⃣
17942;DC9;2️⃣
17942;OE1;1️⃣
17942;OE2;1️⃣
17942;OE3;3️⃣
17942;OE4;1️⃣
17942;OE5;3️⃣
17942;OE6;4️⃣
17942;OE7;1️⃣
17942;OE8;1️⃣
17943;DC1;1️⃣
17943;DC10;3️⃣
17943;DC2;🤷‍♂️
17943;DC3;1️⃣
17943;DC4;1️⃣
17943;DC5;1️⃣
17943;DC6;1️⃣
17943;DC7;1️⃣
17943;DC8;2️⃣
17943;DC9;1️⃣
17943;II2;4️⃣
17947;DC1;1️⃣
17947;DC10;2️⃣
17947;DC2;1️⃣
17947;DC3;1️⃣
17947;DC4;1️⃣
17947;DC5;1️⃣
17947;DC6;4️⃣
17947;DC7;4️⃣
17947;DC8;1️⃣
17947;DC9;2️⃣
17947;FI1;1️⃣
17947;FI2;2️⃣
17947;FI3;🔟
17947;FI4;2️⃣
17947;FI5;4️⃣
17947;FI6;1️⃣
17947;II2;1️⃣
17948;II2;1️⃣
17948;OE1;4️⃣
17948;OE2;1️⃣
17948;OE3;1️⃣
17948;OE4;2️⃣
17948;OE5;3️⃣
17948;OE6;1️⃣
17948;OE7;1️⃣
17948;OE8;1️⃣
17951;DC1;1️⃣
17951;DC10;3️⃣
17951;DC2;1️⃣
17951;DC3;1️⃣
17951;DC4;2️⃣
17951;DC5;2️⃣
17951;DC6;1️⃣
17951;DC7;2️⃣
17951;DC8;1️⃣
17951;DC9;3️⃣
17951;FI1;3️⃣
17951;FI2;1️⃣
17951;FI3;1️⃣
17951;FI4;3️⃣
17951;FI5;4️⃣
17951;FI6;3️⃣
17951;OE1;3️⃣
17951;OE2;1️⃣
17951;OE3;3️⃣
17951;OE4;3️⃣
17951;OE5;3️⃣
17951;OE6;4️⃣
17951;OE7;1️⃣
17951;OE8;1️⃣
17951;TE1;4️⃣
17951;TE10;3️⃣
17951;TE2;2️⃣
17951;TE3;3️⃣
17951;TE4;2️⃣
17951;TE5;2️⃣
17951;TE6;1️⃣
17951;TE7;3️⃣
17951;TE8;3️⃣
17951;TE9;3️⃣
17952;DC1;1️⃣
17952;DC10;2️⃣
17952;DC2;1️⃣
17952;DC3;3️⃣
17952;DC4;4️⃣
17952;DC5;1️⃣
17952;DC6;1️⃣
17952;DC7;1️⃣
17952;DC8;2️⃣
17952;DC9;2️⃣
17952;FI1;4️⃣
17952;FI2;4️⃣
17952;FI3;3️⃣
17952;FI4;1️⃣
17952;FI5;4️⃣
17952;FI6;4️⃣
17952;II2;3️⃣
17952;OE1;3️⃣
17952;OE2;1️⃣
17952;OE3;3️⃣
17952;OE4;3️⃣
17952;OE5;3️⃣
17952;OE6;3️⃣
17952;OE7;1️⃣
17952;OE8;1️⃣
17953;II2;3️⃣
17956;FI1;2️⃣
17956;FI2;1️⃣
17956;FI3;3️⃣
17956;FI4;1️⃣
17956;FI5;2️⃣
17956;FI6;4️⃣
17960;DC1;1️⃣
17960;DC10;2️⃣
17960;DC2;🤷‍♂️
17960;DC3;1️⃣
17960;DC4;4️⃣
17960;DC5;1️⃣
17960;DC6;1️⃣
17960;DC7;1️⃣
17960;DC8;1️⃣
17960;DC9;1️⃣
17960;FI1;4️⃣
17960;FI2;1️⃣
17960;FI3;9️⃣
17960;FI4;1️⃣
17960;FI5;5️⃣
17960;FI6;4️⃣
17960;II2;1️⃣
17960;TE1;4️⃣
17960;TE10;3️⃣
17960;TE2;2️⃣
17960;TE3;2️⃣
17960;TE4;3️⃣
17960;TE5;3️⃣
17960;TE6;6️⃣
17960;TE7;2️⃣
17960;TE8;2️⃣
17960;TE9;3️⃣
17965;DC1;1️⃣
17965;DC10;3️⃣
17965;DC2;🤷‍♂️
17965;DC3;1️⃣
17965;DC4;2️⃣
17965;DC5;1️⃣
17965;DC6;1️⃣
17965;DC7;2️⃣
17965;DC8;2️⃣
17965;DC9;2️⃣
17965;FI1;4️⃣
17965;FI2;1️⃣
17965;FI3;1️⃣
17965;FI4;1️⃣
17965;FI5;4️⃣
17965;FI6;4️⃣
17965;II2;2️⃣
17965;OE1;4️⃣
17965;OE2;3️⃣
17965;OE3;2️⃣
17965;OE4;2️⃣
17965;OE5;2️⃣
17965;OE6;1️⃣
17965;OE7;1️⃣
17965;OE8;2️⃣
17965;TE1;1️⃣
17965;TE10;3️⃣
17965;TE2;2️⃣
17965;TE3;2️⃣
17965;TE4;1️⃣
17965;TE5;1️⃣
17965;TE6;3️⃣
17965;TE7;3️⃣
17965;TE8;3️⃣
17965;TE9;2️⃣
17966;DC1;2️⃣
17966;DC10;2️⃣
17966;DC2;1️⃣
17966;DC3;1️⃣
17966;DC4;4️⃣
17966;DC5;1️⃣
17966;DC6;2️⃣
17966;DC7;2️⃣
17966;DC8;2️⃣
17966;DC9;1️⃣
17966;FI1;3️⃣
17966;FI2;1️⃣
17966;FI3;1️⃣
17966;FI4;1️⃣
17966;FI5;5️⃣
17966;FI6;4️⃣
17966;II2;4️⃣
17966;OE1;2️⃣
17966;OE2;1️⃣
17966;OE3;2️⃣
17966;OE4;1️⃣
17966;OE5;3️⃣
17966;OE6;1️⃣
17966;OE7;1️⃣
17966;OE8;2️⃣
17966;TE1;2️⃣
17966;TE10;3️⃣
17966;TE2;2️⃣
